标题,中文摘要
时间不一致性偏好下保险公司最优分红、融资和再保险策略,近年来，分红及相关策略优化问题一直是保险精算的热点话题。相关研究通常假设保险公司管理者对未来现金流具有时间一致性偏好，可用带常数贴现率的指数贴现函数计算现值。然而，有证据表明这种假设并不现实，人们对未来现金流的偏好会随时间变化而变化。行为金融学研究表明贴现率会随着时间递减，即人们对短期利益更加急切而对长期利益相对更有耐心。因此，以往在时间一致性偏好下的研究带有明显的局限性。本项目采用3种非指数贴现函数描述管理者对未来现金流的时间不一致性偏好，用扩散模型模拟保险公司的资产过程，在最大化公司价值的目标下寻找保险公司分红、融资和再保险联合最优策略。我们将在多种再保险方式和保费准则下展开讨论，并分析交易费用、破产终端值等因素的影响。问题的解决有赖于概率统计、随机控制、博弈论等相关工具的灵活运用与创新。预期结果将为保险公司科学决策提供理论依据，促进相关学科与保险的交叉融合，丰富保险精算理论。
考虑行为因素的多元耦合商品资产定价模型研究,后危机时代，全球经济不确定性加剧，大宗商品价格跌宕起伏，非理性因素凸显。对此，本项目旨在建立包括实体经济因素、金融市场因素和行为因素在内的多元耦合商品资产定价模型。拟创新点是：1）提出商品市场上行为因素的加速器效应，提炼行为因素指标，揭示行为因素对商品资产的定价能力；2）揭示行为因素对实体经济因素和金融市场因素的反馈效应，提炼主导因素下的商品资产定价因子的基本耦合形式，提出市场环境变迁与外部冲击下多元定价因子微观动态耦合机制；3）基于投资者有限理性的视角，构建含实体经济、金融市场和行为因素多元耦合的商品资产定价模型，实现外部冲击下定价模型的适应性调整。力图让定价模型充分考虑信息-预期-行为-价格的微观机制，具有解释平稳状态时商品价格运动规律和特殊状态时商品价格异象的能力。基于理论成果，对全球主要商品资产进行全方位实证研究；为市场机制完善、市场监管、投资与风险管理策略提供政策支持。
面向多层次级联优化的多项目调度问题研究,多项目计划往往通过逐层分解形成多种处于不同项目管理层次的调度计划。但实践中各层调度计划之间经常会发生不兼容和冲突等情况，严重影响了多项目战略目标的实现。因此，实现各层多项目调度计划的联合优化是目前项目调度理论中的一个亟需解决的关键问题。本课题拟结合现代多项目管理理论和最新优化调度方法，对多项目调度的分层级联优化问题进行研究。首先对处于不同监管层次的典型项目调度问题进行分析定位，突出战术层的重要地位，对处于战术层的项目粗能力计划问题进行改进。在此基础上，以目标层解法为框架，提出分层多项目级联调度问题，构建以多项目战略目标为输入的战术层和执行层联合调度问题的优化模型。针对问题模型的特点，将最新项目调度算法嵌入到目标层解法的主算法中，通过充分的算法分析和计算实验，提出求解该问题的高效算法。该研究将探索一条能够对不同层次的多种项目调度问题进行级联优化的有效途径，具有重要的理论意义和应用前景。
PPP项目中的政府保证设计研究,为了解决PPP项目实践中对政府保证认识模糊、盲目承诺的突出问题，本课题拟揭示各类政府保证对社会资本激励作用的差异，并研究政府保证的Pareto最优设计。（1）识别并对比各类政府保证的应用范围、适用条件、可能导致的风险等特征，研究政府保证之间的层次关系；（2）基于激励与保健二元视角，构建政府保证、政府履约意愿、社会资本努力水平与项目绩效关系的研究模型，设计测量量表并检验路径关系；（3）针对单一政府保证和多种政府保证组合两种情况，以社会资本努力水平和社会资本的期望收益大于保留效用作为约束条件，以项目收益最大化和社会福利最大化为目标设计政府保证的双目标规划模型，求得Pareto最优解；（4）通过对典型PPP项目案例的研究，比较政府保证的应用差异并提出实务操作建议。.本课题是对PPP项目契约和激励理论的深化和完善，研究成果可以为公平、科学设计PPP项目契约中的政府保证条款提供依据。
多属性逆向拍卖和多源异构决策融合的绿色采购机制设计,"本项目旨在以可持续发展条件下多物品多属性多源绿色采购决策问题为背景, 在综合考虑经济、环境和社会标准下的影响因素和供应链风险因素的前提下构建新的绿色供应商评价指标体系, 研究多物品多属性逆向拍卖机制设计方法和不确定信息下多源异构多属性决策方法, 基于此提出新的绿色采购的两阶段融合机制, 并将融合机制应用到可持续发展条件下一类特性物品(如天然气、石油等)的绿色采购决策中, 以完善和发展不确定信息下多属性决策理论、多物品拍卖的机制设计和双边策略的优化, 推动拍卖理论、多属性决策理论与绿色供应链管理、电子商务等一类实际经济活动的结合, 并为相关企业实施可持续发展的绿色采购管理提供理论依据和决策参考。"
顾客有限关注下的产品设计与网络营销问题研究,在互联网+时代，大量企业将其传统的运营、营销、投资策略与互联网紧密融合，为终端消费者和企业决策者提供了海量的商品和交易信息。但是急剧增长的信息，同时造成顾客和企业决策者在时间，数量，属性等维度上对信息的关注深度和处理能力有限。心理学和经济学实证证明这种有限关注对顾客购买行为会产生显著的影响。然而，管理科学领域目前对顾客有限关注如何影响决策者运营和市场决策的研究却很少。本课题首先通过实证和文献研究顾客有限关注的表现形式及其对企业运营和市场决策的影响方式；从时间、数量和属性等维度对微观决策中的顾客有限关注作量化描述；进而研究顾客有限关注下的产品线设计策略，投资优化策略及社交网络平台上的营销策略。本课题将心理学和经济学领域的有限关注理论应用和推广到运营管理领域中，是扩展现有相关理论的跨学科创新性研究，并在互联网+的经济发展战略下有广泛的应用前景。
多元复杂时空数据建模与监控方法研究,依赖日臻成熟和广泛应用的传感器技术、RFID技术、网络通信以及数据库等技术，可以收集到大量同时具有时间和空间维度的数据，即时空数据，如各地区某种疾病每月的发病数量，各环境监测站点收集到的空气污染物颗粒数量，每分钟城市各路口的交通流量记录，每秒无线通信基站的数据流量以及风电或太阳能电厂的设备功率输出等数据。本研究主要针对时间空间皆离散的数值型数据。此类时空数据在时间维度上具有极强的动态变化性，在空间位置上具有动态的相关性，包含了系统运行质量的重要和关键信息。时空数据的建模、预测与监控在无线通信、智能交通、传染病防制、风能、太阳能等新能源管理等领域存在着巨大需求。目前时空数据的实时建模、预测和监控方法还非常欠缺。因此，本项目目标针对多元复杂时空数据，运用统计学习、数据挖掘以及统计过程控制等理论，研究其建模、分析、控制和管理方法，建立时空数据智能建模、预测、监控的新理论、新方法和新技术。
自助服务技术（SSTs）情境下顾客报怨和沉默行为研究,自助服务技术(SSTs)情境下没有服务人员的介入，企业失去主动发现失败原因和及时补救的机会，只能更多地依赖顾客向企业抱怨，因此，理解顾客抱怨和沉默行为的真正原因对于SSTs服务商显得尤为重要。项目研究内容包括：探讨自助服务技术和人员服务情境下顾客抱怨和沉默行为差异；比较顾客抱怨影响因素模型在两种情境下的不同；构建自助服务技术情境下顾客抱怨和沉默的认知情绪模型；寻找顾客不同抱怨类型所采取相应的抱怨渠道的原因。项目采用关键事件技术和内容分析方法确定SSTs情境下顾客抱怨和沉默原因和渠道选择，然后利用调查法和实验法进行定量研究。在资源匹配理论、认知评估理论、媒介丰富理论等相关理论基础上，剖析SSTs情境下顾客抱怨和沉默行为的认知和行为过程。拓展传统服务下顾客抱怨和沉默研究思路，为进一步研究自助服务技术情境下抱怨管理奠定理论基础，也为SSTs服务商倾听顾客抱怨发声、设计有效的抱怨渠道提供指导和借鉴
考虑匮乏成本的灾害应急物流供应链目标函数与协调机制研究,灾害应急物流管理是当前运作管理研究的前沿领域和研究热点之一。作为一个新兴的研究领域，灾害应急物流的目标函数构建是当前最亟需解决的关键问题。本课题从供应链管理的研究角度入手，以灾害应急物流系统的结构和动态特征为基础，构建灾害应急物流的目标函数，开展灾害应急物流供应链的协调机制与优化策略研究。本课题将以匮乏成本概念为核心，研究匮乏成本的测量及其函数的估计方法，构建适用于灾害应急物流的目标函数，并以此为基础研究灾害应急物流供应链的协调与优化问题。课题的主要研究内容包括：匮乏成本测量与匮乏成本函数估计方法研究，基于匮乏成本的目标函数构建，和灾害应急物流供应链协调机制与优化策略研究。课题旨在突破传统商业物流管理与灾害应急物流管理之间的壁垒，建立和完善适用于灾害应急物流的目标函数，设计灾害应急物流供应链的协调机制与优化策略，为灾害应急管理发展提供理论参考，并为灾害应急物流实践提供决策工具。
混合交通环境下无人驾驶车最优换道策略和路径规划问题研究,本课题研究如何利用无人驾驶车对车道级的运动控制来进行最优路径规划，在混合交通情景下如何实现无人驾驶车间、以及无人与有人驾驶车间的合作以降低拥堵提升系统效率。在方法创新上，本课题 1）通过系统解析车道交通状态与规划路线相互作用机制，把最优控制理论应用到无人驾驶车最优车道选择和换道行为数学建模中；2）首次将连续最优控制问题内嵌到动态规划框架下构建宏观和微观决策一体化的路径规划模型，利用随机占优理论对无人驾驶车最优路径根据可靠性排序；3）针对无人驾驶车的不同市场占有率，利用混合均衡理论构建用户均衡及系统最优模型，提出合作机制以实现从用户均衡到系统最优的转化。在实证上，拟利用双检验机制验证模型和算法：1）依托开源数据NGSIM和深圳观测数据，开发VISSIM仿真平台；2）依托美国Mcity无人驾驶车测试基地设计实验，完成实例论证。课题成果将创新无人驾驶车路径规划理论，并为其市场化发展提供理论依据。
基于分布式鲁棒优化的门诊预约调度,医疗资源优化配置是解决我国当前医疗供需矛盾的可行手段，而门诊资源优化调度是否高效会对后续服务及整个医院的运营效率产生直接影响。本项目拟以医疗数据为基础，针对门诊预约调度中存在的服务时间、患者需求和行为特征等不确定信息，以最小化患者等待时间和医生空闲及加班时间为目标，利用随机变量的矩信息或矩区间信息，基于分布式鲁棒优化的思想，综合运用最优化方法、图论、排队论、马尔科夫决策过程等，设计算法求解不确定信息下的最优门诊预约调度规则。具体包括：基于服务时间不确定的门诊预约调度模型，考虑患者行为及其不确定性的门诊预约机制，并基于最小化最大后悔值思想对模型进行改进；决策者存在行为偏好时基于CVaR测度的门诊预约调度模型；考虑患者需求不确定的门诊预约调度优化以及序贯调度下基于鲁棒优化思想的预约调度在线优化。研究成果可为门诊预约调度提供决策支持，提高患者满意度，实现医疗服务运营效率和资源利用率的最大化。
房地产征用补偿极端争议的组合性均衡评价及其实验研究,本课题研究从均衡价值评价和行为实验博弈入手，以解决房地产征用补偿极端争议问题为目标，构建反映互动公平、损失规避和其他行为偏好的项目均衡价值模型，通过多种实验手段综合运用，充分显现征用补偿极端争议关键点，构建有效化解房地产征用补偿极端争议的组合性均衡评价方法。.本课题研究内容包括：第一，房地产征用补偿极端争议的网络调查与深度访谈；第二，房地产征用补偿极端争议的归类分析与理论分析；第三，征用补偿极端争议的组合性均衡评价模型构建；第四，征用补偿极端争议的组合性均衡评价实验研究；第五，极端争议组合性均衡评价的操作步骤与基本内容。.按照均衡价值评价、主体偏好显现与极端争议化解的逻辑思路，通过开展补偿价值认知的偏好验证实验与项目可行性判别的方案选择实验，这种组合性均衡评价方法可以度量多种参考依赖水平的项目均衡价值，判别公平补偿价值区间及其信念认同条件，确定房地产征用补偿极端争议的均衡策略组合化解方案。
社会化电子商务下消费者的后购物阶段行为决策：基于品牌依恋和信息处理的理论视角,社会化媒体正日益对企业的经营活动产生深远的影响，如何有效开展社会化电子商务是很多企业必需要思考的问题，这方向也成为目前管理信息系统和市场营销交叉领域的新兴热点研究方向。本项目在申请人的前期研究基础上，拟进一步探讨消费者在此背景下的后购物阶段行为决策问题。研究拟从品牌依恋和信息处理的理论角度出发进行创新性的探索，详细阐述消费者与企业之间的相互作用，从而促使消费者参与行为和品牌忠诚行为的形成。本研究将有助于企业认识社会化电子商务中消费者的行为决策过程，从而更有效地影响消费者，发挥社会化媒体对企业的积极作用，帮助企业适应社会化电子商务、社会化媒体的浪潮，提升它们对企业的价值。
心理账户视角下的出行行为分析与拥挤收费策略研究,道路拥挤收费是交通需求管理的重要措施之一，出行者对出行成本特别是拥挤收费成本的心理感知以及有限理性的决策行为模式将直接影响其出行选择，从而影响拥挤收费措施的实施效果。本项目基于行为科学中的心理账户理论视角，从全面分析和挖掘个体在出行活动中的心理账户分类入手，探讨出行者对各种出行成本的心理预算度量机制。在深入了解心理账户对各出行属性效用度量影响的基础上，验证属性依赖的决策规则异质性，构建新的多属性决策模型，完善出行行为决策分析框架。进一步，在静态拥挤收费的动态演化实施策略和动态拥挤收费方案的设计中，分析方案动态调整对出行者心理认知的影响，在考虑参考点依赖、心理账户重新评估等心理因素的前提下，给出合理有效的拥挤收费方案和实施路径。本项目的研究对更深刻地认识个体出行行为及其对出行成本的主观感知，更合理地制定拥挤收费方案和实施策略提供理论指导，对提升城市交通管理水平具有十分重要的科学意义。
国际金融市场极端尾部相依度量的方法以及应用研究,随着金融危机的频繁发生以及对极端风险度量的需求，极端尾部相依度量成为了非常重要的研究课题。已有研究大多对尾部相依进行静态分析，且缺乏对极端相依的度量，这在理论和实际应用中都存在一定局限。本项目拟在已有研究的基础上，对极端尾部相依度量方法进行改进，并对几个领域进行应用研究。基于cDCC模型的思想，对时变Copula以及GAS模型的自回归截距进行变结构建模，并进行变点检测。分位数相协回归模型(QOR)结合分位数回归和Copula度量了尾部相依，我们将基于非参数方法对QOR进行时变建模。基于极值理论和尾部指数回归对共同超过数进行建模，给出新的极端尾部相依度量。在应用领域，基于上述方法从极端尾部相依的视角对金融传染、金融脆弱性、波动率聚集等领域进行实证研究，给出相应的实证结论和政策建议。本项目力图提供极端尾部相依新的度量方法，并在实证研究基础上给出相应的建议，以求达到较高的学术价值及实际应用价值。
公平偏好下风险投资的阶段投资策略、股权分配和企业家努力：理论、模型与实证检验,本项目将风险资本的投入、股权分配和风险企业家(EN)的努力看成多阶段动态系统。在完全理性下，构建多阶段Stackelberg动态规划博弈模型。进一步，已有的实证研究和实验研究表明：风险投资家(VC)和EN具有公平偏好（包括结果公平偏好和互惠动机）心理，基于此，将公平偏好植入多阶段系统中，利用动态规划、博弈论、仿真模拟、数值例子和实证等研究方法重点研究了VC/EN在公平偏好下的决策，以及公平偏好对多阶段风险投资决策（投资策略、股权分配和努力）的影响，并对完全理性决策和公平偏好决策进行比较研究。和现有的研究相比，不同之处在于：第一，同时将投资策略、股权分配和努力纳入多阶段动态系统中；第二，从完全理性和公平偏好（项目改进的F-S理论和互惠动机）两个维度构建风险投资动态系统模型；第三，研究了公平偏好对多阶段决策的影响以及对VC和EN现值的影响；第四，从公平偏好视角提出了提高VC/EN现值的措施。
面向产业集群广义制造系统的知识模块化机理研究,产业集群是推动经济增长的重要方式，知识管理能力是企业核心竞争力的重要组成，基于知识价值提升产业集群核心竞争力是当前知识管理研究的紧要任务。项目组在研究中发现，在业务问题的解决过程中，知识资源表现出小范围高密度聚集协作的现象，本项目称其为知识模块化。知识模块化是知识资源价值特性发挥的重要形式，对企业核心竞争力的影响至关重要，然而关于知识模块化机理的研究尚不深入。由于知识模块化现象在集群环境更为突出，因而本项目提出产业集群广义制造系统的概念，并提出对集群环境中知识模块化现象进行深入研究的设想，引入复杂网络理论、数据统计模型、相关性分析等理论方法，从局域协作的视角，研究知识模块化的作用机制，建立知识模块与业务绩效的相关性模型及知识模块化特性的评测参数体系，探讨基于知识模块的业务组织新模式。本项目拓宽了知识管理及产业集群研究的视野，推动集群环境下的知识管理研究，对知识管理实践也有重要的参考价值。
基于大数据与计算实验的市场流动性危机研究,2015年股灾中发生的流动性踩踏和2016年初熔断机制引发的流动性恐慌，凸显了市场流动性危机研究的重要性：既是金融市场微观结构及系统性风险管理的重要前沿理论问题，又是中国金融市场改革创新中亟需解决的重大现实需求。本项目首先利用大数据分析技术剖析投资者的交易行为；然后在此基础上运用计算实验方法，从投资者的交易行为、杠杆交易和外部信息冲击等视角分析流动性危机的形成机理与传染机制，从而揭示流动性危机的涌现规律；最后基于“情景-应对”型风险管理思想，从缓释流动性风险的角度对市场微观机制进行优化设计并探索流动性危机的应对措施。
数据驱动的我国PM2.5污染规律模型智能构建方法研究,本课题针对我国迫切需要解决的PM2.5污染问题，聚焦于PM2.5大数据分析难题，基于数据驱动的理论与方法，智能构建PM2.5污染规律模型。主要研究内容包括：数据驱动的PM2.5时空规律模型构建方法研究，数据驱动的PM2.5社会经济规律模型构建方法研究，以及中国情境下的PM2.5污染事件预警和治理决策支持方法研究。本课题遵循数据密集型科学研究“第四范式”引导，课题组已经开展了前期探索性工作，并取得阶段性成果。本课题预计在大数据环境下的模型智能构建方法上可以进一步取得创新成果，具有良好的理论意义；同时，相关规律模型可以对我国PM2.5污染治理决策提供科学支持，具有良好的现实意义。
产品智能化时的供应链管理研究,"物联网已经成为一个新的风口，智能产品越来越丰富，改善着企业的绩效与人们的工作与生活。本项目研究物联网下产品智能化时的供应链管理。具体地，我们研究原有产品（核心部件、或者整机）智能化、新增智能产品、互补产品智能化这三种情形。此时的供应链管理将与文献中已有的研究呈现出一些完全不同的特征：(1)供应链的结构从原先的串行变成网状（如三家企业时是三角形结构），企业间的相互影响就变得非常复杂，均衡解是否存在、或者在什么条件下存在？(2)供应链中硬件产品与智能（软件）服务共存，通常硬件产品可以一次性支付，而服务则是持续性的，它们常常需要不同的合约，那么共存时选取什么合约？进而，我们还要在同一个框架下来研究上述两个特征。本项目期望对智能产品/物联网下供应链管理的理论与方法有所贡献,具有重要的理论意义与实际应用价值。"
基于混频技术和组合预测的资产复杂相关性密度预测研究：短期冲击、长期影响与机制转换,在目前全球经济增长乏力的不利背景下，金融市场的一体化趋势将进一步增强，股市、债市、衍生品和大宗商品等市场间必将呈现出更加多样化和复杂化的相互影响与联系。鉴于现有研究的不足，本申请的研究目标在于：从复杂非线性科学的全新视角入手，运用混频建模技术（Mixed frequency data sampling），综合考察影响资产相关性的短期冲击、长期影响和机制转换特征；同时运用动态模型平均（Dynamic model averaging）的组合预测方法，集成各类相关性预测模型的线性与非线性结果，得到优于现有各类单一、单频模型的相关性组合点预测（Correlation point forecasting）技术。进一步，提出全新的基于上述点预测结果的资产复杂相关性密度预测（Correlation density forecasting）方法，并开展相关的统计检验、经济评价与应用研究。
基于制造大数据的产品研发知识集成与服务机制研究,制造大数据能够扩展产品研发数据的来源，为研发人员提供更为准确和全面融合的研发知识，但其重复、碎片化、分散、异构等特征，为企业开展产品研发知识集成与知识服务带来了挑战。本课题针对制造大数据的开放性、动态演化性和复杂关联性特点，从制造大数据的聚合管理入手，开展动态层次化知识集成方法和实时动态知识服务机制研究，以智能网联汽车产品研发开展案例研究。具体研究内容包括：（1）分析异构制造大数据可用性的基础上，研究基于异构制造大数据的全景式数据聚合管理方法。（2）针对产品创新周期不断缩短和研发知识体系不断变化更新等特征，研究面向产品研发需求驱动的异质性知识集成方法。（3）分析研发人员个性化知识服务需求基础上，研究基于制造大数据的个性化实时动态知识服务机制。以上研究为互联网和大数据环境下产品研发知识管理提供新的方式与途径，丰富和深化知识集成理论与方法的研究体系，也有助于提升企业产品创新能力。
移动医疗环境下医患信任构建模型与关系治理研究,当前我国医患关系紧张，医患信任严重缺乏。随着医疗信息化的推进，移动医疗借助其新型的医疗服务模式，实现医患随时随地交互，从而有助于构建和改善医患信任。本课题立足医患信任的实际问题，结合移动医疗环境下医患交互的特点，以医患信任形成、信任演化、信任改进为主线，从患者的角度，分析影响医患信任的关键因素、医患信任的构成维度和医患信任的结果，构建移动医疗环境下医患初始信任到连续信任的时间演化模型和线上信任到线下信任的空间演化模型，研究基于演化过程的信任评价模型。同时从医生的角度，研究以医患信任为导向的医患关系治理结构、治理过程和治理结果，系统分析移动医疗环境下基于信任的医患关系治理机制。课题有助于提升医疗信息化背景中的实际医疗问题切入，拓展医患信任构建与关系治理问题研究理论，加强医患信任的构建和管理，完善医患关系的治理机制，为移动医疗在我国医疗服务模式的创新、应用和发展提供理论和实践支持。
基于消费者满意度的稻米农产品电子商务物流优化方法研究,农产品电子商务供应链物流管理优化问题已成为影响农产品电子商务发展的重要环节。本课题是在互联网+背景下揭示农产品供应链物流配送服务对消费者满意度的影响机理，挖掘出关键影响因素；以消费者满意多目标物流优化度视角为出发点，构建分类模式下农产品电子商务供应链物流优化模型；探索该问题大数据样本下的智能优化求解技术。研究内容包括：大样本、大数据分析下，采用文本挖掘和数据挖掘技术展开农产品供应链物流配送服务对消费者满意度的关键影响因素和影响机理研究，构建消费者满意度模型；基于消费者满意度视角，构建分类模式下的农产品电子商务平台卖家与消费者之间的多目标物流优化模型。并针对大规模情形下，研究该问题的求解方法。.      基于供应链管理理论、消费者满意度理论和智能优化理论等展开实例和实证研究。本研究对完善农产品电子商务供应链管理理论体系，为农产品供应商和物流企业决策，促进农产品电子商务和国民经济
C2M型电子商务驱动的生产-仓储-配送联动决策研究,随着电子商务模式的发展升级，互联网所释放个性化、多样化需求，正在倒逼生产制造企业的全面转型升级。需求端、零售端与制造业的在线紧密连接、协同，催生出一套消费者驱动的C2M（customer to manufactory）型生产运营模式。该模式具有生产系统高度柔性化、仓储系统快速响应零库存化和配送模式高效多元化的特点。而其核心挑战在于生产-仓储-配送全面联动运作。本研究深入分析C2M环境下生产、仓储、配送独立环节的问题特点，构建具有动态合作关系和可变主从结构的生产-仓储-配送协同决策模型。并提出“跨领域自适应型多元群体智能算法机制”，通过自适应算法管理配置，使得协同决策模型中每个子系统可独立匹配不同的智能算法，构建最适宜的算法组合方案。最终将所提出算法机制用于解决实际应用中的“生产计划驱动型”、“仓储空间约束型”和“配送任务带动型”三类典型联动决策问题，为实现C2M背景下多环节在线协同和制造物流联动提供理论依据。
可持续供应链管理激励机制设计与协调优化决策模型研究,以可持续供应链为研究对象，以提升可持续信息透明度、促进企业社会责任投资、降低运输碳排放为研究目标，研究可持续供应链的运作机理和激励机制。具体包括:（1）提出供应链管理可持续性度量模型，帮助供应链管理者有效地管理、监控、评估和改善供应链可持续发展状况；（2）从系统工程的观点综合分析可持续的经济、环境和社会三个维度对供应链中的信息流、资金流及物流的影响，提出可持续信息透明度激励机制、企业社会责任投资成本分担机制和运输模式选择合作机制；（3）提出可持续供应链设计和协调机制模型；（4）基于中国制造业和物流运输业等大型供应链进行实证研究，结合我国供应链管理的特点和困境，提出有中国特色的可持续解决方案。研究目的是建立相应的激励机制模型，提出可持续供应链管理解决方案的理论框架，为实现我国乃至全球供应链管理的可持续发展提供参考方案和决策支持。
基于行为定向的电子商务平台展示广告精准投放技术研究,近年来，互联网展示广告DA在市场的需求作用下，凭借庞大的网络流量为互联网广告行业带来巨大的发展机遇。但由于应用场景的特殊性，无论是学术界还是工业界对展示广告DA的研究和实践都处于初步发展阶段。本课题以电子商务平台中展示广告投放为主要应用场景，围绕着“基于行为定向的电子商务平台展示广告精准投放”问题展开。主要研究内容包括：①广告投产比ROI预测；②基于时空上下文的广告受众行为定向；③跨产品类目/跨展现位置的广告受众行为迁移学习算法；④基于行为定向的展示广告受众挖掘实验平台。针对上述问题，课题为实现电子商务平台中展示广告DA精准投放技术提供了一套有效的基础理论和方法。其研究成果具备一定的应用价值与研究价值，在有效提高企业竞争力，为企业带来巨大的经济效益的同时，有助于用户获取优质信息，实现学术界和产业界的双赢。
数字媒体环境下具有非对称信息的合作广告机制研究,合作广告是营销供应链系统中广告成本的一种分担模式，即上游成员（通常是制造商）分担下游成员（通常是零售商）的一部分区域性广告成本。这种模式在实际中被广泛采用，但目前有关的定量研究主要针对传统媒体广告，并假设信息是所有供应链成员的共同知识。近年来，数字媒体快速发展，广告的传播方式呈现很多新的特点，且供应链成员间存在各种非对称性信息。本项目重点研究以互联网（包括移动互联网）为代表的数字媒体背景下具有非对称信息的合作广告决策模型，首先拟对若干典型的数字媒体广告的传播特点和规律进行研究，定量刻画全国性广告和区域性广告的成本投入对需求的影响关系，进而重点研究这些典型数字媒体背景下各类非对称信息的存在对营销供应链中上下游企业的广告合作与竞争关系的影响，构建和求解相应的博弈模型，设计相应的实施机制。研究成果将为实际系统的决策提供理论上的依据和管理上的启示，对实际管理具有指导作用。
O2O环境下的供应链决策模型研究,随着电子商务的发展，线上线下开始进行深度融合，各种各样的O2O （Online to Offline）商业运营模式层出不穷。本项目的研究目标是以各种O2O商业模式为背景，考虑那些影响消费者和O2O用户的主要行为因素，应用供应链决策模型来分析这些行为因素对平台及相关角色决策的影响，并以此探讨这些商业模式的前景。.具体而言，本项目拟研究以下三方面内容：（1）考虑各类消费者行为因素的O2O决策模型；（2）考虑平台用户策略性行为的O2O决策模型； 以及（3）基于消费者和平台用户交互行为的O2O决策模型。.本项目的理论价值在于较早地将影响众多平台用户和消费者的那些行为因素融入供应链决策，并分析这些行为因素对供应链决策的影响。特别的，当系统涉及众多用户时，用户选择会因此形成某种特别的社会交互，这将为供应链相关研究提供一个比较新的视角。
服务业外商直接投资产业政策测量及其有效性和协同性研究,服务业政策是影响FDI溢出效应的重要因素之一，而关于服务业FDI溢出测度及政策有效性研究尚显不足。本项目从6个层面，以13个研究假设为主线，纵横支撑开展实证研究：一是将FDI理论与服务业生产率理论相结合，探索FDI对优化服务业生产率和服务业结构的机理，提高服务业的潜在经济增长；二是对改革开放以来的涉及服务业FDI相关政策进行量化设计，构建FDI政策有效性的多学科、多层次、多角度的综合评价指标体系，建立测量数据库，运用计量经济学方法建立中国服务业宏观层次、行业层次FDI溢出和服务业FDI竞争力与FDI政策有效性的若干计量评价模型，同时定量分析各部门政策间的协同效应，以期在FDI理论与服务业生产率理论上有所突破；三是通过对改革开放以来涉及服务业FDI政策的横向与纵向比较和竞争力排名，明确我国服务业FDI发展水平国际定位，以及与欧美服务业发达国家的差距，探索有效的服务业FDI政策和协同创新机制。
大数据驱动的我国典型重点流域水污染防控决策研究,重点流域水污染防治以及污染物排放量的大力削减是新时期环保工作的重要任务。在大数据背景下，环境管理与决策模式正在从传统的管理流程为主的线性范式向以数据为中心的扁平化范式转变。针对我国重点流域精准治理管理技术方法不足的现状，开展大数据背景下我国典型重点流域水污染防控管理与决策情景研究。结合现状分析，以松花江流域为研究对象，通过重点流域水环境多源异构大数据收集及数据价值发现研究，建立重点流域污染防控环境大数据集。开展多源异构数据融合技术研究，基于灰色系统模型和计算智能方法，对环境多源异构大数据进行统计推断与预测分析，建立重点流域水污染防控负面清单。开展重点流域水污染防控大数据关联分析和数据驱动模型普适性建模研究，制定全局模式下数据驱动模型，形成污染源综合管理方法、环境精准治理方案。面向流域水生态环境全景式综合管理与决策情景，构建虚拟可视化综合管理平台。为有效提高环境综合管理水平提供科技支撑。
共享经济下旅游供应链协调机制及应用研究,旅游共享经济有诸多特征，如时间碎片化、供给个别化、需求个性化、实现网络化、决策分散化、伙伴陌生化。在旅游共享经济中，旅游服务的供需匹配更加困难，参与者面临的风险更大。因此，本项目将研究如下旅游共享经济问题，①合作机制问题，包括在Merchant模式下合作策略、在Agency模式下合作策略、混合模式下合作策略。②风险机制问题，包括平台赔付策略、平台和保险公司合作策略、基于网络评论的奖惩策略。③销售策略问题，包括透明销售策略、不透明销售策略、混合策略。④取消策略问题，包括服务预订取消策略、服务提供取消策略、可取消服务定价策略。⑤匹配策略问题，包括所需服务多选项策略、所供服务多选项策略、服务组合策略。本项目的研究成果有助于：发现共享经济内涵、丰富旅游供应链理论、深入协调机制研究、提高旅游者满意度、增加提供者收入、促进旅游平台成长、推动旅游经济发展。
信息产品和服务的捆绑策略及实证研究,在互联中销售的信息产品和服务具有传递速度快、物流成本低、边际成本低、不受时空限制等特征，信息产品和服务的这些特征非常适合捆绑营销策略。随着移动计算平台的发展，使用信息产品和服务的用户数量的大增，消费者群体产生网络外部性特征，而这一特征对营销方式和效果产生了巨大的影响甚至是颠覆了传统营销方式。项目首先考虑外部性情况下平台捆绑、时序捆绑和定制捆绑优化决策。在此基础上，考虑产品存在竞争时三种捆绑模式的优化决策问题。最后，提出两种捆绑模式复合起来的捆绑营销方式，如平台捆绑+定制捆绑。项目拟采用优化方法建立优化模型，采用进化博弈论方法对不同捆绑方式的优化决策进行分析，从而构建捆绑销售策略在信息产品和服务营销的理论基础，为企业销售提供理论指导。最后，通过实验、问卷调查和网络爬取等方法获得数据构建计量经济模型，对消费者的行为及市场因素影响捆绑策略进行实证研究，获得影响捆绑策略的影响因素。
